Palavra,Link,Instituicao
nao,https://media.spreadthesign.com/video/mp4/14/417935.mp4,Spread the Sign
o que,https://media.spreadthesign.com/video/mp4/14/552464.mp4,Spread the Sign
odiar,https://media.spreadthesign.com/video/mp4/14/401179.mp4,Spread the Sign
ombro,https://media.spreadthesign.com/video/mp4/14/445183.mp4,Spread the Sign
ontem,https://media.spreadthesign.com/video/mp4/14/386842.mp4,Spread the Sign
Outono,https://media.spreadthesign.com/video/mp4/14/386815.mp4,Spread the Sign
ouvinte,https://media.spreadthesign.com/video/mp4/14/229144.mp4,Spread the Sign
Pai,https://media.spreadthesign.com/video/mp4/14/146773.mp4,Spread the Sign
panela,https://media.spreadthesign.com/video/mp4/14/573796.mp4,Spread the Sign
Papel,https://media.spreadthesign.com/video/mp4/14/479287.mp4,Spread the Sign
peixe,https://media.spreadthesign.com/video/mp4/14/460401.mp4,Spread the Sign
perfumar,https://media.spreadthesign.com/video/mp4/14/229162.mp4,Spread the Sign
perna,https://media.spreadthesign.com/video/mp4/14/660448.mp4,Spread the Sign
pescoco,https://media.spreadthesign.com/video/mp4/14/460376.mp4,Spread the Sign
Pessoa surdo-cega,https://media.spreadthesign.com/video/mp4/14/330358.mp4,Spread the Sign
peca de vestuario,https://media.spreadthesign.com/video/mp4/14/301829.mp4,Spread the Sign
Piano,https://media.spreadthesign.com/video/mp4/14/555610.mp4,Spread the Sign
Polonia,https://media.spreadthesign.com/video/mp4/14/477469.mp4,Spread the Sign
ponto de interrogacao,https://media.spreadthesign.com/video/mp4/14/556455.mp4,Spread the Sign
por que?,https://media.spreadthesign.com/video/mp4/14/556484.mp4,Spread the Sign
Portugal,https://media.spreadthesign.com/video/mp4/14/477470.mp4,Spread the Sign
preto,https://media.spreadthesign.com/video/mp4/14/210350.mp4,Spread the Sign
primavera,https://media.spreadthesign.com/video/mp4/14/386844.mp4,Spread the Sign
primo,https://media.spreadthesign.com/video/mp4/14/210359.mp4,Spread the Sign
proxima semana,https://media.spreadthesign.com/video/mp4/14/386845.mp4,Spread the Sign
pe,https://media.spreadthesign.com/video/mp4/14/445190.mp4,Spread the Sign
Quadro,https://media.spreadthesign.com/video/mp4/14/556669.mp4,Spread the Sign
quarta-feira,https://media.spreadthesign.com/video/mp4/14/386847.mp4,Spread the Sign
queimar,https://media.spreadthesign.com/video/mp4/14/242332.mp4,Spread the Sign
quinta-feira,https://media.spreadthesign.com/video/mp4/14/386849.mp4,Spread the Sign
rato,https://media.spreadthesign.com/video/mp4/14/156133.mp4,Spread the Sign
relacao,https://media.spreadthesign.com/video/mp4/14/152923.mp4,Spread the Sign
relva,https://media.spreadthesign.com/video/mp4/14/556734.mp4,Spread the Sign
Russia,https://media.spreadthesign.com/video/mp4/14/477472.mp4,Spread the Sign
saia,https://media.spreadthesign.com/video/mp4/14/250502.mp4,Spread the Sign
salsicha,https://media.spreadthesign.com/video/mp4/14/392827.mp4,Spread the Sign
sanduiche,https://media.spreadthesign.com/video/mp4/14/214628.mp4,Spread the Sign
sangue,https://media.spreadthesign.com/video/mp4/14/445197.mp4,Spread the Sign
saude,https://media.spreadthesign.com/video/mp4/14/570560.mp4,Spread the Sign
