Palavra,Link,Instituicao
Chato,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_chato_STREAM.mp4,USP
Cheio (lugar),https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_cheio_lugar_STREAM.mp4,USP
Chorar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_chorar_STREAM.mp4,USP
Cidade,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_cidade_STREAM.mp4,USP
Cidade do Interior,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_cidade_do_interior_STREAM.mp4,USP
Cigano,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_cigano_STREAM.mp4,USP
Cinema,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_cinema_STREAM.mp4,USP
Claro,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_claro_STREAM.mp4,USP
Classe ou Sala de Aula,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_classe_sala_de_aula_STREAM.mp4,USP
Coisa,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_coisa_STREAM.mp4,USP
Colorido,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_colorido_cor_STREAM.mp4,USP
Como?,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_como_STREAM.mp4,USP
Computador,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_computador_STREAM.mp4,USP
Confiar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_confiar_STREAM.mp4,USP
Conhecer,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_conhecer_STREAM.mp4,USP
Conseguir,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_conseguir_STREAM.mp4,USP
Contratar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_contratar_STREAM.mp4,USP
Conversar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_conversar_STREAM.mp4,USP
Copiar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_copiar_STREAM.mp4,USP
Cores,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_cores_STREAM.mp4,USP
Corrigir,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_corrigir_STREAM.mp4,USP
Criar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA07/Libras_glossario_aula07_criar_STREAM.mp4,USP
Curioso,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_curioso_STREAM.mp4,USP
Curso,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_curso_STREAM.mp4,USP
Danca,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_dan%C3%A7a_STREAM.mp4,USP
Dar e Dar-me,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_dar_STREAM.mp4,USP
Dar um tempo,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_da_um_tempo_STREAM.mp4,USP
De novo ou Repetir,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_de_novo_STREAM.mp4,USP
De saco cheio,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_de_saco_cheio_STREAM.mp4,USP
Deitar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_deitar_STREAM.mp4,USP
Dele e dela,https://midia.atp.usp.br/outros/libras2015/glossario/AULA07/Libras_glossario_aula07_dele_dela_STREAM.mp4,USP
Demais,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_demais_STREAM.mp4,USP
Depois,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_depois_STREAM.mp4,USP
Desculpa,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_desculpa_STREAM.mp4,USP
Desespero,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_desespero_STREAM.mp4,USP
Desmotivado,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_desmotivado_STREAM.mp4,USP
Dezembro,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_dezembro_STREAM.mp4,USP
Dia,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_dia_STREAM.mp4,USP
Dias da semana,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_dias_da_semana_STREAM.mp4,USP
Dicionario,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_dicionario_STREAM.mp4,USP
Diferente,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_diferente_STREAM.mp4,USP
Dificil,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_dificil_STREAM.mp4,USP
Diretor,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_diretor_STREAM.mp4,USP
Doente,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_doente_STREAM.mp4,USP
Domingo,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_domingo_STREAM.mp4,USP
Dormir,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_dormir_STREAM.mp4,USP
ELE,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_ele_ela_STREAM.mp4,USP
