Palavra,Link,Instituicao
AMERICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AM%C3%89RICA.mp4,UFSC SignBank
ANALFABETO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANALFABETO.mp4,UFSC SignBank
ANDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANDAR.mp4,UFSC SignBank
ANDORRA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANDORRA.mp4,UFSC SignBank
ANDROID,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANDROID.mp4,UFSC SignBank
ANDROID2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANDROID2.mp4,UFSC SignBank
ANEL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANEL.mp4,UFSC SignBank
ANEXAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANEXAR.mp4,UFSC SignBank
ANEXAR2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANEXAR2.mp4,UFSC SignBank
ANGELONI,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANGELONI.mp4,UFSC SignBank
ANGELONI2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANGELONI2.mp4,UFSC SignBank
ANGUSTIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANG%C3%9ASTIA.mp4,UFSC SignBank
ANIMAIS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANIMAIS.mp4,UFSC SignBank
ANIMAIS2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANIMAIS2.mp4,UFSC SignBank
ANIMAL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANIMAL.mp4,UFSC SignBank
ANIVERSARIO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANIVERS%C3%81RIO.mp4,UFSC SignBank
ANO-PASSADO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANO-PASSADO.mp4,UFSC SignBank
ANO-UM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANO-UM.mp4,UFSC SignBank
ANO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANO.mp4,UFSC SignBank
