Palavra,Link,Instituicao
700 000,https://media.spreadthesign.com/video/mp4/14/549405.mp4,Spread the Sign
7000,https://media.spreadthesign.com/video/mp4/14/549406.mp4,Spread the Sign
71,https://media.spreadthesign.com/video/mp4/14/549407.mp4,Spread the Sign
72,https://media.spreadthesign.com/video/mp4/14/549408.mp4,Spread the Sign
73,https://media.spreadthesign.com/video/mp4/14/549409.mp4,Spread the Sign
74,https://media.spreadthesign.com/video/mp4/14/549410.mp4,Spread the Sign
75,https://media.spreadthesign.com/video/mp4/14/549411.mp4,Spread the Sign
76,https://media.spreadthesign.com/video/mp4/14/549412.mp4,Spread the Sign
77,https://media.spreadthesign.com/video/mp4/14/549413.mp4,Spread the Sign
78,https://media.spreadthesign.com/video/mp4/14/549414.mp4,Spread the Sign
79,https://media.spreadthesign.com/video/mp4/14/549415.mp4,Spread the Sign
7:45,https://media.spreadthesign.com/video/mp4/14/549965.mp4,Spread the Sign
8,https://media.spreadthesign.com/video/mp4/14/549416.mp4,Spread the Sign
80,https://media.spreadthesign.com/video/mp4/14/549417.mp4,Spread the Sign
80 000,https://media.spreadthesign.com/video/mp4/14/549418.mp4,Spread the Sign
800,https://media.spreadthesign.com/video/mp4/14/549419.mp4,Spread the Sign
